,PageRank,Airport_name,Airport_info
204,[6.99853991],ALG,"Houari Boumediene, Algeria"
2651,[6.99755615],STL,"Lambert St Louis Intl, United States"
1311,[6.96516024],CUN,"Cancun Intl, Mexico"
458,[6.9167926],DUB,"Dublin, Ireland"
1563,[6.88286217],DOH,"Doha Intl, Qatar"
2692,[6.80137804],PDX,"Portland Intl, United States"
2310,[6.79134592],CNS,"Cairns Intl, Australia"
2354,[6.73572981],SZX,"Baoan Intl, China"
2130,[6.68920503],CCU,"Netaji Subhash Chandra Bose Intl, India"
1415,[6.67637304],VLI,"Port Vila Bauerfield, Vanuatu"
2365,[6.67174655],HGH,"Xiaoshan, China"
1768,[6.60704411],MAO,"Eduardo Gomes Intl, Brazil"
1773,[6.58315587],GIG,"Galeao Antonio Carlos Jobim, Brazil"
304,[6.53096121],TXL,"Tegel, Germany"
2370,[6.50409346],SHA,"Hongqiao Intl, China"
2229,[6.49829969],SGN,"Tansonnhat Intl, Vietnam"
2719,[6.37341173],MDW,"Chicago Midway Intl, United States"
3245,[6.35103346],MHD,"Mashhad, Iran"
2245,[6.30479035],UPG,"Hasanuddin, Indonesia"
2084,[6.28258632],VKO,"Vnukovo, Russia"
2670,[6.27370178],LGA,"La Guardia, United States"
2937,[6.25895161],KIX,"Kansai, Japan"
431,[6.22379347],STN,"Stansted, United Kingdom"
1326,[6.22098249],PTY,"Tocumen Intl, Panama"
1333,[6.20538092],SJO,"Juan Santamaria Intl, Costa Rica"
1381,[6.19546604],NAN,"Nadi Intl, Fiji"
165,[6.12406609],YXL,"Sioux Lookout, Canada"
2890,[6.11213134],DPS,"Bali Ngurah Rai, Indonesia"
2184,[6.1098628],KTM,"Tribhuvan Intl, Nepal"
903,[6.10196981],AGP,"Malaga, Spain"
2496,[6.08621869],DCA,"Ronald Reagan Washington Natl, United States"
2820,[6.00647334],BWI,"Baltimore Washington Intl, United States"
2326,[5.98766792],ADL,"Adelaide Intl, Australia"
2362,[5.96121557],XMN,"Gaoqi, China"
1325,[5.91281722],PAC,"Marcos A Gelabert Intl, Panama"
676,[5.8856471],LAD,"Luanda 4 De Fevereiro, Angola"
48,[5.84886415],YEG,"Edmonton Intl, Canada"
888,[5.78176001],ALC,"Alicante, Spain"
1818,[5.77602146],SSA,"Deputado Luis Eduardo Magalhaes, Brazil"
1376,[5.71839259],NAS,"Lynden Pindling Intl, Bahamas"
192,[5.66000804],YZF,"Yellowknife, Canada"
1347,[5.63984606],HAV,"Jose Marti Intl, Cuba"
977,[5.63893185],NCE,"Cote D\\'Azur, France"
2620,[5.63074729],TPA,"Tampa Intl, United States"
3142,[5.58048929],CEB,"Mactan Cebu Intl, Philippines"
418,[5.56624067],GLA,"Glasgow, United Kingdom"
774,[5.51494493],CMN,"Mohammed V Intl, Morocco"
2369,[5.51320023],TAO,"Liuting, China"
2356,[5.47209939],WUH,"Tianhe, China"
2590,[5.44799784],OME,"Nome, United States"
374,[5.41553665],BHX,"Birmingham, United Kingdom"
961,[5.35821276],LYS,"Saint Exupery, France"
1174,[5.34246553],GVA,"Geneve Cointrin, Switzerland"
2227,[5.32959891],HAN,"Noibai Intl, Vietnam"
2666,[5.32815375],OTZ,"Ralph Wien Mem, United States"
2351,[5.32810574],CSX,"Huanghua, China"
1125,[5.31717358],PRG,"Ruzyne, Czech Republic"
1419,[5.29609877],GEA,"Magenta, New Caledonia"
976,[5.2824921],MRS,"Provence, France"
1755,[5.27518237],CNF,"Tancredo Neves Intl, Brazil"
2189,[5.2657731],BLR,"Bangalore, India"
1538,[5.21566532],KHI,"Jinnah Intl, Pakistan"
1453,[5.20995474],WLG,"Wellington Intl, New Zealand"
1995,[5.19884208],SJU,"Luis Munoz Marin Intl, Puerto Rico"
2367,[5.15074315],NKG,"Lukou, China"
1859,[5.14703009],UIO,"Mariscal Sucre Intl, Ecuador"
898,[5.13128369],IBZ,"Ibiza, Spain"
759,[5.12464184],LPA,"Gran Canaria, Spain"
1601,[5.10082174],CTS,"New Chitose, Japan"
1107,[5.07287856],VCE,"Venezia Tessera, Italy"
2944,[5.05174321],DRW,"Darwin Intl, Australia"
2703,[5.04952132],SAN,"San Diego Intl, United States"
419,[5.04620083],EDI,"Edinburgh, United Kingdom"
2934,[4.98823385],EZE,"Ministro Pistarini, Argentina"
2462,[4.97910444],CLE,"Cleveland Hopkins Intl, United States"
3103,[4.95997642],SFB,"Orlando Sanford Intl, United States"
2072,[4.89195607],SVX,"Koltsovo, Russia"
1167,[4.87904193],OTP,"Henri Coanda, Romania"
303,[4.860319],STR,"Stuttgart, Germany"
259,[4.83599565],LOS,"Murtala Muhammed, Nigeria"
2199,[4.80603943],MAA,"Chennai Intl, India"
1516,[4.80486884],AMM,"Queen Alia Intl, Jordan"
2779,[4.79026202],KTN,"Ketchikan Intl, United States"
246,[4.78948636],ABV,"Nnamdi Azikiwe Intl, Nigeria"
1798,[4.78489644],POA,"Salgado Filho, Brazil"
1127,[4.7769572],TLV,"Ben Gurion, Israel"
1520,[4.75213315],KWI,"Kuwait Intl, Kuwait"
1531,[4.71008226],MCT,"Seeb Intl, Oman"
2039,[4.68516371],KBP,"Boryspil Intl, Ukraine"
519,[4.68251562],WAW,"Okecie, Poland"
2885,[4.6817382],SUB,"Juanda, Indonesia"
295,[4.65462633],HAM,"Hamburg, Germany"
1762,[4.65398943],CWB,"Afonso Pena, Brazil"
3022,[4.63553682],OVB,"Tolmachevo, Russia"
2012,[4.58506813],ALA,"Almaty, Kazakhstan"
1035,[4.56845681],HER,"Nikos Kazantzakis, Greece"
1087,[4.53922201],BGY,"Bergamo Orio Al Serio, Italy"
1427,[4.51912793],CHC,"Christchurch Intl, New Zealand"
2079,[4.48037374],TAS,"Yuzhny, Uzbekistan"
1185,[4.47483846],AYT,"Antalya, Turkey"
54,[4.43042814],YFB,"Iqaluit, Canada"
1815,[4.4129121],CGH,"Congonhas, Brazil"
2379,[4.4122288],HRB,"Taiping, China"
2381,[4.39605691],DLC,"Zhoushuizi, China"
2244,[4.38384314],RGN,"Yangon Intl, Burma"
297,[4.36336652],CGN,"Koln Bonn, Germany"
1616,[4.34606082],FUK,"Fukuoka, Japan"
2355,[4.32812072],CGO,"Xinzheng, China"
235,[4.32306466],ACC,"Kotoka Intl, Ghana"
1052,[4.30404327],RHO,"Rhodes Diagoras, Greece"
1765,[4.29248142],CGB,"Marechal Rondon, Brazil"
156,[4.28011055],YWG,"Winnipeg Intl, Canada"
2196,[4.27502176],HYD,"Hyderabad, India"
575,[4.25089957],CPT,"Cape Town Intl, South Africa"
2063,[4.23986377],AER,"Sochi, Russia"
2907,[4.22679494],RIX,"Riga Intl, Latvia"
645,[4.22638669],TNR,"Ivato, Madagascar"
1267,[4.22540563],GDL,"Don Miguel Hidalgo Y Costilla Intl, Mexico"
3082,[4.17393592],SHE,"Shenyang Taoxian International Airport, China"
2236,[4.16509071],MDL,"Mandalay Intl, Burma"
484,[4.03669821],BGO,"Flesland, Norway"
2360,[4.01185494],ULN,"Chinggis Khaan Intl, Mongolia"
2153,[4.01001685],DAC,"Zia Intl, Bangladesh"
3172,[4.0046096],TAH,"Tanna island, Vanuatu"
2765,[4.00316342],AKN,"King Salmon, United States"
