,PageRank,Airport_name,Airport_info
4128,[0.84310128],HTI,"Hamilton Island Airport, Australia"
3426,[0.84304133],IPA,"Ipota Airport, Vanuatu"
3427,[0.84304133],FTA,"Futuna Airport, Vanuatu"
3428,[0.84304133],DLY,"Dillon's Bay Airport, Vanuatu"
3429,[0.84304133],AWD,"Aniwa Airport, Vanuatu"
3430,[0.84304133],AUY,"Anelghowhat Airport, Vanuatu"
1420,[0.84280286],MEE,"Mare, New Caledonia"
3423,[0.84280286],ILP,"Île des Pins Airport, New Caledonia"
1416,[0.84280286],KNQ,"Kone, New Caledonia"
1421,[0.84280286],TOU,"Touho, New Caledonia"
1998,[0.84267805],UVF,"Hewanorra Intl, Saint Lucia"
1046,[0.84198518],LRS,"Leros, Greece"
1355,[0.84168127],VRA,"Juan Gualberto Gomez Intl, Cuba"
480,[0.84138057],ANX,"Andenes, Norway"
4300,[0.84133876],YNJ,"Yanji Airport, China"
2846,[0.840823],EYW,"Key West Intl, United States"
935,[0.84034247],BIQ,"Anglet, France"
4597,[0.84002166],MNT,"Minto Airport, United States"
4712,[0.84002166],IRC,"Circle City Airport, United States"
3629,[0.83959046],GSM,"Gheshm Airport, Iran"
4029,[0.83907089],NYM,"Nadym Airport, Russia"
3944,[0.83891421],NEV,"Vance Winkworth Amory International Airport, Saint Kitts and Nevis"
634,[0.83882435],LVI,"Livingstone, Zambia"
889,[0.83869753],LEI,"Almeria, Spain"
3966,[0.83852589],VDC,"Vitória da Conquista Airport, Brazil"
1263,[0.83840839],CZM,"Cozumel Intl, Mexico"
1249,[0.83725921],ACA,"General Juan N Alvarez Intl, Mexico"
4127,[0.837183],BHQ,"Broken Hill Airport, Australia"
3618,[0.83631036],BFF,"Western Nebraska Regional Airport, United States"
4554,[0.83631036],AIA,"Alliance Municipal Airport, United States"
3751,[0.8362614],SOJ,"Sorkjosen Airport, Norway"
2232,[0.8361723],KET,"Kengtung, Burma"
2540,[0.83599908],PNS,"Pensacola Rgnl, United States"
2742,[0.83581832],PBG,"Plattsburgh Intl, United States"
1577,[0.83564436],ROR,"Babelthuap, Palau"
4924,[0.83531361],PGU,"Persian Gulf Airport, Iran"
1611,[0.83524177],AKJ,"Asahikawa, Japan"
1801,[0.83294834],PET,"Pelotas, Brazil"
2038,[0.83276915],UUD,"Mukhino, Russia"
3393,[0.83264579],TUK,"Turbat International Airport, Pakistan"
2503,[0.83234772],PUB,"Pueblo Memorial, United States"
3564,[0.83189884],WRL,"Worland Municipal Airport, United States"
4146,[0.8317243],CUQ,"Coen Airport, Australia"
2087,[0.83140582],REN,"Orenburg, Russia"
2822,[0.83039123],LNY,"Lanai, United States"
1681,[0.82982993],TAC,"Daniel Z Romualdez, Philippines"
3424,[0.8295192],BMY,"Belep Islands Airport, New Caledonia"
1191,[0.82932638],ASR,"Erkilet, Turkey"
4728,[0.82911758],YTF,"Alma Airport, Canada"
3268,[0.82849425],ABE,"Lehigh Valley Intl, United States"
1920,[0.82756871],CAY,"Rochambeau, French Guiana"
1379,[0.82696391],AIT,"Aitutaki, Cook Islands"
1156,[0.82643363],SJJ,"Sarajevo, Bosnia and Herzegovina"
657,[0.82641221],NOS,"Fascene, Madagascar"
3753,[0.82610602],SOG,"Sogndal Airport, Norway"
3241,[0.8259977],HVG,"Valan, Norway"
158,[0.82548831],YWL,"Williams Lake, Canada"
2972,[0.8254252],JAC,"Jackson Hole Airport, United States"
1433,[0.82503018],HLZ,"Hamilton, New Zealand"
1441,[0.82503018],NSN,"Nelson, New Zealand"
3653,[0.82493146],GLK,"Galcaio Airport, Somalia"
1779,[0.82475227],IMP,"Prefeito Renato Moreira, Brazil"
103,[0.82471605],YPN,"Port Menier, Canada"
3147,[0.82377176],PMW,"Palmas, Brazil"
3309,[0.82356825],JPR,"Ji-Paraná Airport, Brazil"
3953,[0.82320818],RIB,"Capitán Av. Selin Zeitun Lopez Airport, Bolivia"
2220,[0.82298488],HDY,"Hat Yai Intl, Thailand"
3755,[0.82283062],RET,"Røst Airport, Norway"
5300,[0.82249189],JTC,"Bauru-Arealva, Brazil"
1602,[0.82218594],HKD,"Hakodate, Japan"
479,[0.82180668],AES,"Vigra, Norway"
1552,[0.82165026],SKZ,"Sukkur, Pakistan"
4224,[0.82156894],BWT,"Wynyard Airport, Australia"
4151,[0.82148862],ELC,"Elcho Island Airport, Australia"
4181,[0.82148862],MGT,"Milingimbi Airport, Australia"
3838,[0.81970416],YGZ,"Grise Fiord Airport, Canada"
1102,[0.81963401],TRS,"Ronchi Dei Legionari, Italy"
3432,[0.81944601],SWJ,"Southwest Bay Airport, Vanuatu"
3443,[0.81944601],LPM,"Lamap Airport, Vanuatu"
126,[0.81937518],YRJ,"Roberval, Canada"
3220,[0.8193683],JZH,"Jiuzhaigou Huanglong, China"
1050,[0.81898619],MJT,"Mitilini, Greece"
1447,[0.81895746],ROT,"Rotorua, New Zealand"
2254,[0.81890518],PLW,"Mutiara, Indonesia"
1737,[0.81860369],RSA,"Santa Rosa, Argentina"
4644,[0.81751235],ORI,"Port Lions Airport, United States"
2008,[0.81671284],AET,"Allakaket Airport, United States"
3482,[0.81618],AIU,"Atiu Island Airport, Cook Islands"
4684,[0.81556737],KLW,"Klawock Airport, United States"
4616,[0.81531316],TKE,"Tenakee Seaplane Base, United States"
4615,[0.81531316],ELV,"Elfin Cove Seaplane Base, United States"
2143,[0.8148111],IXR,"Birsa Munda, India"
1833,[0.81478284],BBA,"Balmaceda, Chile"
3860,[0.81460098],NTG,"Nantong Airport, China"
2275,[0.81427704],TWU,"Tawau, Malaysia"
4318,[0.81313539],DIB,"Dibrugarh Airport, India"
884,[0.81274262],RJK,"Rijeka, Croatia"
1542,[0.81227542],MUX,"Multan Intl, Pakistan"
3750,[0.81149289],VAW,"Svartnes Airport, Norway"
4019,[0.81141908],PSC,"Tri Cities Airport, United States"
3892,[0.81077039],JSU,"Maniitsoq Airport, Greenland"
3888,[0.81077039],JHS,"Sisimiut Airport, Greenland"
2588,[0.81074411],SAV,"Savannah Hilton Head Intl, United States"
1989,[0.81064357],STX,"Henry E Rohlsen, Virgin Islands"
29,[0.81058631],YBL,"Campbell River, Canada"
4036,[0.81029911],NMA,"Namangan Airport, Uzbekistan"
3765,[0.81003449],LEQ,"Land's End / St. Just Airport, United Kingdom"
4923,[0.80922458],TTR,"Tana Toraja Airport, Indonesia"
4120,[0.80922458],LPU,"Long Apung Airport, Indonesia"
2554,[0.80883602],CHA,"Lovell Fld, United States"
1575,[0.80876936],TKK,"Chuuk Intl, Micronesia"
3304,[0.80861938],UKK,"Ust Kamenogorsk Airport, Kazakhstan"
4273,[0.80805812],TXN,"Tunxi International Airport, China"
4594,[0.80710901],HUS,"Hughes Airport, United States"
3593,[0.80690216],LBF,"North Platte Regional Airport Lee Bird Field, United States"
1853,[0.80679191],GPS,"Seymour, Ecuador"
1277,[0.80649851],LAP,"General Manuel Marquez De Leon Intl, Mexico"
2878,[0.80637198],LBJ,"Mutiara Ii, Indonesia"
550,[0.80583646],AJR,"Arvidsjaur, Sweden"
2329,[0.80574026],KGI,"Kalgoorlie Boulder, Australia"
1571,[0.80548885],MAJ,"Marshall Islands Intl, Marshall Islands"
4286,[0.80452252],MIG,"Mianyang Airport, China"
4106,[0.80436955],BBN,"Bario Airport, Malaysia"
4400,[0.80436955],LKH,"Long Akah Airport, Malaysia"
4101,[0.80436955],LGL,"Long Lellang Airport, Malaysia"
4102,[0.80436955],ODN,"Long Seridan Airport, Malaysia"
3773,[0.8042367],EOI,"Eday Airport, United Kingdom"
4377,[0.80417483],GFN,"Grafton Airport, Australia"
4201,[0.8038005],CCK,"Cocos Keeling Island Airport, Cocos (Keeling) Islands"
4655,[0.80363073],KZB,"Zachar Bay Seaplane Base, United States"
4640,[0.80363073],KYK,"Karuluk Airport, United States"
708,[0.80201894],VNX,"Vilankulo, Mozambique"
4262,[0.80189856],LUM,"Mangshi Airport, China"
1055,[0.8015735],JSI,"Alexandros Papadiamantis, Greece"
207,[0.80111688],VVZ,"Illizi Takhamalt, Algeria"
647,[0.80064619],SMS,"Sainte Marie, Madagascar"
4631,[0.8005431],WWP,"North Whale Seaplane Base, United States"
4630,[0.8005431],PPV,"Port Protection Seaplane Base, United States"
2851,[0.80051699],GTF,"Great Falls Intl, United States"
2018,[0.79933358],YAK,"Yakutat, United States"
845,[0.79903949],SEB,"Sebha, Libya"
4257,[0.79872903],BYN,"Bayankhongor Airport, Mongolia"
4256,[0.79872903],LTI,"Altai Airport, Mongolia"
3071,[0.79765929],BGW,"Baghdad International Airport, Iraq"
2961,[0.79742983],ROA,"Roanoke Regional, United States"
270,[0.7972805],MIR,"Habib Bourguiba Intl, Tunisia"
4269,[0.79711738],LYG,"Lianyungang Airport, China"
70,[0.79688797],YHY,"Hay River, Canada"
4744,[0.79641353],ZEL,"Bella Bella Airport, Canada"
4512,[0.79486642],GPZ,"Grand Rapids Itasca County, United States"
3549,[0.79400736],CVU,"Corvo Airport, Portugal"
226,[0.79365754],INZ,"In Salah, Algeria"
1996,[0.79332879],SKB,"Robert L Bradshaw, Saint Kitts and Nevis"
459,[0.79331432],NOC,"Ireland West Knock, Ireland"
2952,[0.79304225],AVL,"Asheville Regional Airport, United States"
4210,[0.79239819],RMA,"Roma Airport, Australia"
1846,[0.79193792],ZCO,"Maquehue, Chile"
1527,[0.79131512],RKT,"Ras Al Khaimah Intl, United Arab Emirates"
1133,[0.79099368],SDV,"Sde Dov, Israel"
2044,[0.79096514],LWO,"Lviv Intl, Ukraine"
1642,[0.79067463],AXT,"Akita, Japan"
1556,[0.79017687],PZH,"Zhob, Pakistan"
3899,[0.79011596],VAI,"Vanimo Airport, Papua New Guinea"
27,[0.78982492],YBG,"Bagotville, Canada"
4740,[0.78963284],ZNA,"Nanaimo Harbour Water Airport, Canada"
4016,[0.78949902],GLH,"Mid Delta Regional Airport, United States"
827,[0.78838591],LXR,"Luxor Intl, Egypt"
4561,[0.78687879],CNY,"Canyonlands Field, United States"
2139,[0.7867572],IXS,"Silchar, India"
2156,[0.78530518],IXD,"Allahabad, India"
1425,[0.78469439],TUO,"Taupo, New Zealand"
1456,[0.78469439],WAG,"Wanganui, New Zealand"
4205,[0.78336341],EDR,"Pormpuraaw Airport, Australia"
4167,[0.78336341],KWM,"Kowanyama Airport, Australia"
3498,[0.78318333],TNO,"Cabo Velas Airport, Costa Rica"
4280,[0.78302821],YIW,"Yiwu Airport, China"
3981,[0.78224923],GES,"General Santos International Airport, Philippines"
169,[0.78202],YXT,"Terrace, Canada"
5668,[0.78199356],YTY,"Yangzhou Taizhou Airport, China"
365,[0.78154005],TMP,"Tampere Pirkkala, Finland"
4090,[0.78139762],TMC,"Tambolaka Airport, Indonesia"
1708,[0.78080016],LUQ,"San Luis, Argentina"
1795,[0.78061583],NVT,"Ministro Victor Konder Intl, Brazil"
2633,[0.78056852],ISN,"Sloulin Fld Intl, United States"
548,[0.78056677],UME,"Umea, Sweden"
2968,[0.78009958],TVC,"Cherry Capital Airport, United States"
256,[0.78004127],KAN,"Mallam Aminu Intl, Nigeria"
2157,[0.78000477],ATQ,"Amritsar, India"
927,[0.77971134],LIG,"Bellegarde, France"
4530,[0.77889834],GDZ,"Gelendzik, Russia"
1282,[0.77829948],MLM,"General Francisco J Mujica Intl, Mexico"
3226,[0.77813757],DNH,"Dunhuang Airport, China"
400,[0.77793968],SEN,"Southend, United Kingdom"
1472,[0.77704329],ELQ,"Gassim, Saudi Arabia"
3864,[0.77700381],YHP,"Poplar Hill Airport, Canada"
1233,[0.77611542],POP,"Gregorio Luperon Intl, Dominican Republic"
2022,[0.77601403],AKX,"Aktyubinsk, Kazakhstan"
1122,[0.77596085],OSR,"Mosnov, Czech Republic"
1802,[0.77595443],PNZ,"Senador Nilo Coelho, Brazil"
3030,[0.77573573],RAP,"Rapid City Regional Airport, United States"
3408,[0.77530408],OMH,"Uromiyeh Airport, Iran"
4156,[0.77482898],GTE,"Groote Eylandt Airport, Australia"
4202,[0.77482898],GOV,"Gove Airport, Australia"
1902,[0.77388787],TME,"Tame, Colombia"
4797,[0.77388787],RVE,"Los Colonizadores Airport, Colombia"
2811,[0.77387047],AMA,"Rick Husband Amarillo Intl, United States"
2179,[0.77230765],PKZ,"Pakse, Laos"
610,[0.77185279],BBK,"Kasane, Botswana"
3006,[0.77076655],FTE,"El Calafate, Argentina"
1176,[0.77010014],LUG,"Lugano, Switzerland"
1172,[0.77005414],TGM,"Transilvania Targu Mures, Romania"
2537,[0.76967376],CAE,"Columbia Metropolitan, United States"
114,[0.76890513],YQM,"Greater Moncton Intl, Canada"
414,[0.76625573],LSI,"Sumburgh, United Kingdom"
1918,[0.7657723],BYC,"Yacuiba, Bolivia"
5301,[0.76457934],OIA,"Ourilandia do Norte Airport, Brazil"
577,[0.76386209],ELS,"East London, South Africa"
20,[0.76372769],YAM,"Sault Ste Marie, Canada"
714,[0.76351655],NDJ,"Ndjamena Hassan Djamous, Chad"
3991,[0.76319112],HRK,"Osnova International Airport, Ukraine"
4828,[0.76207982],RBB,"Borba Airport, Brazil"
2290,[0.76135835],BTJ,"Sultan Iskandarmuda, Indonesia"
4237,[0.76118529],BHY,"Beihai Airport, China"
4180,[0.76104143],MIM,"Merimbula Airport, Australia"
1852,[0.76103655],CUE,"Mariscal Lamar, Ecuador"
2467,[0.76087089],HON,"Huron Rgnl, United States"
2880,[0.76053697],TRK,"Juwata, Indonesia"
2017,[0.76046806],CIT,"Shymkent, Kazakhstan"
4018,[0.75959584],IGM,"Kingman Airport, United States"
5007,[0.75941746],AGM,"Tasiilaq, Greenland"
3856,[0.75921283],YAG,"Fort Frances Municipal Airport, Canada"
1044,[0.75885288],KVA,"Megas Alexandros Intl, Greece"
4403,[0.75849109],PTH,"Port Heiden Airport, United States"
4632,[0.75849109],KCQ,"Chignik Lake Airport, United States"
4637,[0.75849109],PIP,"Pilot Point Airport, United States"
4589,[0.75849109],KLL,"Levelock Airport, United States"
4633,[0.75849109],EGX,"Egegik Airport, United States"
231,[0.75816285],IAM,"In Amenas, Algeria"
4433,[0.75815843],GVR,"Governador Valadares Airport, Brazil"
4042,[0.75759009],EGO,"Belgorod International Airport, Russia"
2106,[0.75758236],HJR,"Khajuraho, India"
1505,[0.75752633],KER,"Kerman, Iran"
4348,[0.75717638],OHE,"Heilongjiang Mohe Airport, China"
1207,[0.75701911],TZX,"Trabzon, Turkey"
3484,[0.75687595],CRI,"Colonel Hill Airport, Bahamas"
1362,[0.75687595],AXP,"Spring Point, Bahamas"
4719,[0.75673744],KAE,"Kake Seaplane Base, United States"
4620,[0.75673744],EXI,"Excursion Inlet Seaplane Base, United States"
1620,[0.75661172],OIT,"Oita, Japan"
1722,[0.75657678],REL,"Almirante Zar, Argentina"
681,[0.75626513],VHC,"Saurimo, Angola"
677,[0.75626513],MEG,"Malanje, Angola"
1866,[0.75584339],BGA,"Palonegro, Colombia"
4077,[0.75529391],VCA,"Trà Nóc Airport, Vietnam"
2187,[0.75527352],BIR,"Biratnagar, Nepal"
3119,[0.75527352],TMI,"Tumling Tar, Nepal"
1487,[0.75501543],TIF,"Taif, Saudi Arabia"
4694,[0.75493231],TCT,"Takotna Airport, United States"
4693,[0.75493231],NIB,"Nikolai Airport, United States"
3280,[0.75456793],UCT,"Ukhta, Russia"
805,[0.75362096],VXE,"Sao Pedro, Cape Verde"
3955,[0.75227863],PDA,"Obando Airport, Colombia"
1891,[0.75227863],PCR,"Puerto Carreno, Colombia"
1307,[0.75187477],TAM,"General Francisco Javier Mina Intl, Mexico"
1573,[0.75028437],CXI,"Cassidy Intl, Kiribati"
2904,[0.74996123],SBA,"Santa Barbara Muni, United States"
319,[0.74924269],FDH,"Friedrichshafen, Germany"
683,[0.7484548],SDD,"Lubango, Angola"
499,[0.74843271],LKL,"Banak, Norway"
957,[0.74835386],CFE,"Auvergne, France"
2828,[0.74790863],ISP,"Long Island Mac Arthur, United States"
2973,[0.74732776],RFD,"Chicago Rockford International Airport , United States"
4246,[0.74655022],XFN,"Xiangfan Airport, China"
3326,[0.74631905],JDO,"Orlando Bezerra de Menezes Airport, Brazil"
2683,[0.74593353],BTV,"Burlington Intl, United States"
4812,[0.74590502],BRA,"Barreiras Airport, Brazil"
4683,[0.74587967],PML,"Port Moller Airport, United States"
4155,[0.74512428],GLT,"Gladstone Airport, Australia"
4234,[0.74330318],TGO,"Tongliao Airport, China"
1705,[0.74299662],UAQ,"San Juan, Argentina"
1704,[0.74299662],TUC,"Teniente Benjamin Matienzo, Argentina"
4392,[0.74299662],PDP,"Capitan Corbeta C A Curbelo International Airport, Uruguay"
3742,[0.74237086],AGH,"Ängelholm-Helsingborg Airport, Sweden"
3032,[0.74236436],FNT,"Bishop International, United States"
4916,[0.74217315],ITB,"Cachimbo, Brazil"
1742,[0.74153506],CDJ,"Conceicao Do Araguaia, Brazil"
938,[0.74115415],DCM,"Mazamet, France"
3756,[0.74100061],RVK,"Ryum Airport, Norway"
4203,[0.74064485],PKE,"Parkes Airport, Australia"
4193,[0.74064485],NRA,"Narrandera Airport, Australia"
4157,[0.74064485],GFF,"Griffith Airport, Australia"
4135,[0.74064485],BHS,"Bathurst Airport, Australia"
1885,[0.74038274],MTR,"Los Garzones, Colombia"
1880,[0.74038274],IBE,"Perales, Colombia"
2992,[0.74006116],ATW,"Appleton, United States"
1295,[0.73965383],PDS,"Piedras Negras Intl, Mexico"
3610,[0.7394605],CLM,"William R Fairchild International Airport, United States"
3204,[0.73872642],CRW,"Yeager, United States"
3401,[0.73869983],DSK,"Dera Ismael Khan Airport, Pakistan"
123,[0.7382183],YQZ,"Quesnel, Canada"
2200,[0.73798655],IXZ,"Port Blair, India"
3918,[0.73767768],KGE,"Kagau Island Airport, Solomon Islands"
4990,[0.73767768],CHY,"Choiseul Bay Airport, Solomon Islands"
3929,[0.73767768],BAS,"Ballalae Airport, Solomon Islands"
425,[0.73737372],SYY,"Stornoway, United Kingdom"
2216,[0.73727984],KBV,"Krabi, Thailand"
706,[0.73686014],UEL,"Quelimane, Mozambique"
1965,[0.7351555],MUN,"Maturin, Venezuela"
4334,[0.7348312],FSZ,"Mt. Fuji Shizuoka Airport, Japan"
3259,[0.73433068],HOV,"Hovden, Norway"
2065,[0.73285177],VOG,"Gumrak, Russia"
4461,[0.73227903],NZH,"Manzhouli, China"
802,[0.73170363],BVC,"Rabil, Cape Verde"
2338,[0.73169574],CFS,"Coffs Harbour, Australia"
1315,[0.73163685],ZIH,"Ixtapa Zihuatanejo Intl, Mexico"
629,[0.73073716],NGE,"Ngaoundere, Cameroon"
2112,[0.72958119],PBD,"Porbandar, India"
3884,[0.72957496],DRK,"Drake Bay Airport, Costa Rica"
4436,[0.72957496],TMU,"Tambor Airport, Costa Rica"
492,[0.72951403],HAU,"Karmoy, Norway"
3469,[0.72946818],LBS,"Labasa Airport, Fiji"
3474,[0.72946818],KDV,"Vunisea Airport, Fiji"
2900,[0.72903629],LWS,"Lewiston Nez Perce Co, United States"
5306,[0.72849693],CFC,"Carlos Alberto da Costa Neves Airport, Brazil"
1793,[0.72781191],MCP,"Macapa, Brazil"
718,[0.72762066],VFA,"Victoria Falls Intl, Zimbabwe"
1604,[0.72715205],MMB,"Memanbetsu, Japan"
3782,[0.72636904],BMW,"Bordj Badji Mokhtar Airport, Algeria"
808,[0.72622012],AXU,"Axum, Ethiopia"
4443,[0.72615818],WTK,"Noatak Airport, United States"
4661,[0.72615818],WLK,"Selawik Airport, United States"
619,[0.72610121],BGF,"Bangui M Poko, Central African Republic"
3210,[0.72530561],BNK,"Ballina Byron Gateway, Australia"
1043,[0.72509042],KSJ,"Kasos, Greece"
4738,[0.72453995],YOP,"Rainbow Lake Airport, Canada"
97,[0.72453995],YOJ,"High Level, Canada"
3696,[0.724107],OMD,"Oranjemund Airport, Namibia"
2252,[0.72380396],GTO,"Jalaluddin, Indonesia"
1486,[0.72367783],TUU,"Tabuk, Saudi Arabia"
1941,[0.72366086],PEM,"Padre Aldamiz, Peru"
2127,[0.72320494],AJL,"Aizawl, India"
2083,[0.72297544],VOZ,"Chertovitskoye, Russia"
813,[0.72239038],JIM,"Jimma, Ethiopia"
811,[0.72239038],GMB,"Gambella, Ethiopia"
1357,[0.72234711],CYB,"Gerrard Smith Intl, Cayman Islands"
1368,[0.72228419],ELH,"North Eleuthera, Bahamas"
3963,[0.72204679],SCY,"San Cristóbal Airport, Ecuador"
1633,[0.72140171],KCZ,"Kochi, Japan"
2800,[0.7208544],LBB,"Lubbock Preston Smith Intl, United States"
2903,[0.72061511],MRY,"Monterey Peninsula, United States"
315,[0.72031759],PAD,"Paderborn Lippstadt, Germany"
2924,[0.72015156],TAI,"Taiz Intl, Yemen"
772,[0.71990157],OUD,"Angads, Morocco"
2982,[0.71986203],BMI,"Central Illinois Rgnl, United States"
3903,[0.71937011],MIS,"Misima Island Airport, Papua New Guinea"
3364,[0.71937011],LSA,"Losuia Airport, Papua New Guinea"
3740,[0.71899081],HMV,"Hemavan Airport, Sweden"
1334,[0.71890596],PMZ,"Palmar Sur, Costa Rica"
1353,[0.71782042],SNU,"Abel Santamaria, Cuba"
4832,[0.71701296],GNM,"Guanambi Airport, Brazil"
4805,[0.71683787],CFB,"Cabo Frio International Airport, Brazil"
2922,[0.71668878],KUT,"Kopitnari, Georgia"
2222,[0.71667088],UTH,"Udon Thani, Thailand"
2603,[0.71530125],ENA,"Kenai Muni, United States"
2836,[0.71530125],VDZ,"Valdez Pioneer Fld, United States"
2004,[0.71499557],AXA,"Wallblake, Anguilla"
1367,[0.71432665],GGT,"Exuma Intl, Bahamas"
978,[0.71405526],PGF,"Rivesaltes, France"
3845,[0.71316529],YFH,"Fort Hope Airport, Canada"
2626,[0.71311541],MAF,"Midland Intl, United States"
4071,[0.7130368],KDO,"Kadhdhoo Airport, Maldives"
4069,[0.7130368],GAN,"Gan Island Airport, Maldives"
3167,[0.7130368],KDM,"Kaadedhdhoo, Maldives"
5674,[0.7130368],GKK,"Kooddoo, Maldives"
3491,[0.71223307],CCC,"Cayo Coco Airport, Cuba"
4775,[0.7114828],RBQ,"Rurrenabaque Airport, Bolivia"
4430,[0.71125252],QBC,"Bella Coola Airport, Canada"
3878,[0.71125252],YAA,"Anahim Lake Airport, Canada"
2580,[0.71122451],HVR,"Havre City Co, United States"
1899,[0.71093864],SMR,"Simon Bolivar, Colombia"
2873,[0.71093263],PKY,"Tjilik Riwut, Indonesia"
4715,[0.71046574],RDV,"Red Devil Airport, United States"
3350,[0.70976605],KUH,"Kushiro Airport, Japan"
175,[0.70974531],YYD,"Smithers, Canada"
3136,[0.70962619],BXU,"Butuan, Philippines"
3140,[0.70962619],OZC,"Ozamis, Philippines"
2947,[0.70962619],MPH,"Godofredo P, Philippines"
4860,[0.70914022],HTY,"Hatay Airport, Turkey"
1111,[0.70855002],EBA,"Marina Di Campo, Italy"
493,[0.70833775],HAA,"Hasvik, Norway"
918,[0.70818087],ZAZ,"Zaragoza Ab, Spain"
1300,[0.70699754],REX,"General Lucio Blanco Intl, Mexico"
3735,[0.70569708],MQP,"Kruger Mpumalanga International Airport, South Africa"
4464,[0.7053387],BRD,"Brainerd Lakes Rgnl, United States"
2045,[0.7053387],IMT,"Ford Airport, United States"
2511,[0.7053387],INL,"Falls Intl, United States"
3596,[0.7053387],JMS,"Jamestown Regional Airport, United States"
3576,[0.7053387],RHI,"Rhinelander Oneida County Airport, United States"
4550,[0.7053387],DVL,"Devils Lake Regional Airport, United States"
355,[0.70504594],KTT,"Kittila, Finland"
5376,[0.70498362],HUE,"Humera Airport, Ethiopia"
1235,[0.70430549],STI,"Cibao Intl, Dominican Republic"
141,[0.70382054],YUB,"Tuktoyaktuk, Canada"
3173,[0.70382054],YPC,"Paulatuk, Canada"
2955,[0.70350865],AYQ,"Ayers Rock, Australia"
3758,[0.70286935],OSY,"Namsos Høknesøra Airport, Norway"
4081,[0.70240601],VII,"Vinh Airport, Vietnam"
2500,[0.70225911],ACY,"Atlantic City Intl, United States"
1776,[0.70131683],ATM,"Altamira, Brazil"
699,[0.70093021],INH,"Inhambane, Mozambique"
3227,[0.70083899],AOI,"Falconara, Italy"
1126,[0.70041054],BRQ,"Turany, Czech Republic"
4642,[0.7003704],OLH,"Old Harbor Airport, United States"
4643,[0.7003704],KOZ,"Ouzinkie Airport, United States"
1304,[0.70015901],TRC,"Torreon Intl, Mexico"
3649,[0.70006498],ASV,"Amboseli Airport, Kenya"
5178,[0.70006498],UKA,"Ukunda Airport, Kenya"
1251,[0.70004759],AGU,"Jesus Teran Intl, Mexico"
10,[0.69837452],AEY,"Akureyri, Iceland"
11,[0.69837452],EGS,"Egilsstadir, Iceland"
14,[0.69837452],IFJ,"Isafjordur, Iceland"
4437,[0.69835363],FON,"Arenal Airport, Costa Rica"
3957,[0.69820198],LPD,"La Pedrera Airport, Colombia"
3858,[0.69820198],TCD,"Tarapacá Airport, Colombia"
3065,[0.6975741],FCA,"Glacier Park Intl, United States"
3409,[0.69741902],ADU,"Ardabil Airport, Iran"
3848,[0.69731943],YDP,"Nain Airport, Canada"
5308,[0.69674724],ERN,"Amaury Feitosa Tomaz Airport, Brazil"
76,[0.69610196],YKA,"Kamloops, Canada"
1056,[0.69571728],SMI,"Samos, Greece"
2605,[0.69570216],IAG,"Niagara Falls Intl, United States"
516,[0.69523581],RZE,"Jasionka, Poland"
2313,[0.69434135],MCY,"Sunshine Coast, Australia"
4228,[0.69380542],CIF,"Chifeng Airport, China"
4230,[0.6932292],DAT,"Datong Airport, China"
121,[0.69235745],YQX,"Gander Intl, Canada"
4347,[0.6922197],JNG,"Jining Airport , China"
3411,[0.69199848],SRY,"Sari Dasht E Naz Airport, Iran"
3967,[0.69159357],MII,"Marília Airport, Brazil"
3619,[0.6912144],BFD,"Bradford Regional Airport, United States"
3003,[0.6912144],FKL,"Franklin, United States"
3607,[0.6912144],DUJ,"DuBois Regional Airport, United States"
4546,[0.6912144],JHW,"Chautauqua County-Jamestown, United States"
1639,[0.69094198],AOJ,"Aomori, Japan"
1252,[0.68996047],HUX,"Bahias De Huatulco Intl, Mexico"
1305,[0.68991463],TGZ,"Angel Albino Corzo, Mexico"
4258,[0.68945491],DLZ,"Dalanzadgad Airport, Mongolia"
4260,[0.68945491],MXV,"Muren Airport, Mongolia"
2755,[0.68889826],SAF,"Santa Fe Muni, United States"
2204,[0.6881393],TRZ,"Trichy, India"
2423,[0.68812503],TTN,"Trenton Mercer, United States"
939,[0.68750406],RDZ,"Marcillac, France"
2059,[0.68717263],MCX,"Uytash, Russia"
172,[0.68716687],YXY,"Whitehorse Intl, Canada"
4038,[0.68689661],UGC,"Urgench Airport, Uzbekistan"
1059,[0.68609338],JSH,"Sitia, Greece"
4270,[0.68591799],HYN,"Huangyan Luqiao Airport, China"
1760,[0.68395715],CAW,"Bartolomeu Lisandro, Brazil"
3043,[0.68345217],IDA,"Idaho Falls Rgnl, United States"
2857,[0.68314897],KDI,"Wolter Monginsidi, Indonesia"
4696,[0.68276676],AKI,"Akiak Airport, United States"
3599,[0.6824714],HTS,"Tri State Milton J Ferguson Field, United States"
2667,[0.68213866],AOO,"Altoona Blair Co, United States"
3105,[0.68213866],JST,"John Murtha Johnstown-Cambria County Airport, United States"
584,[0.6804935],HLA,"Lanseria, South Africa"
2340,[0.6799689],DBO,"Dubbo, Australia"
2584,[0.6799253],SHV,"Shreveport Rgnl, United States"
186,[0.67980078],YYU,"Kapuskasing, Canada"
1071,[0.67871486],PSR,"Pescara, Italy"
3046,[0.67825462],RDM,"Roberts Fld, United States"
3709,[0.67806215],CBT,"Catumbela Airport, Angola"
675,[0.67806215],SVP,"Kuito, Angola"
678,[0.67806215],SPP,"Menongue, Angola"
